text,label
Autoridades desmentem boato: Mensagem promete que água quente cura todas as doenças; parece golpe,1
São Paulo lança programa de habitação com foco em famílias — fonte: redes sociais,0
"Circula nas redes que banco dá dinheiro só por compartilhar post, mas não há evidências — fonte: jornal",1
Universidade Estadual publica dados indicando queda da inflação em 2024,0
Comprovdo: evitar vacina cura doenças crônicas,1
Universidade Estadual publica dados indicando alta da vacinação em último ano — fonte: jornal,0
Checagem aponta: Brasília lança programa de habitação com foco em estudantes,0
Especialistas explicam contexto: Fundação Y anuncia parceria para telemedicina com investimento de R$ 50 milhões,0
Checagem aponta: Segredo financeiro que vai deixar você rico em 24 horas,1
Checagem aponta: Empresa X anuncia parceria para educação digital com investimento de R$ 50 milhões,0
Boato afirma que vacina causa chip rastreador; especialistas negam!,1
Fiocruz public dados indicando alta da vacinação em último ano,0
Universidade Estadual publica dados indicando aumento do emprego em último trimestre — fonte: redes sociais,0
Checagem aponta: Fundação Y anuncia parceria para educação digital com investimento de R$ 1 bilhão,0
Fiocruz publica dados indicando crescimento do emprego em último trimestre,0
Brasília lança programa de habitação com foco em famílias,0
Banco Central publica dados indicando queda da inflação em último trimestre — fonte: jornal,0
Empresa X anuncia parceria para mobilidade urbana com investimento de R$ 200 milhões — fonte: redes sociais,0
Porto Alegre lança programa de capacitação com foco em estudantes ⚠️,0
Mensagem promete que banco dá dinheiro só por compartilhar post; parece golpe #urgente,1
"Circula nas redes que o Sol vai apagar este ano, mas não há evidências 📣",1
Brasília lança programa de sustentabilidade com foco em pesquisadores #política,0
Fiocruz publica dados indicando alta da vacinação em último ano,0
Porto Alegre lança programa de sustentabilidade com foco em pesquisadores 📰,0
Brasília lança programa de sustentabilidade com foco em pesquisadores ✅,0
Banco Central publica dados indicando aumento do emprego em 2025 — fonte: redes sociais,0
"Circula nas redes que vacina causa chip rastreador, mas não há evidências 🔍",1
"Circula nas redes que suco de limão elimina câncer em 3 dias, mas não há evidências ⚠️",1
Mensagem promete que suco de limão elimina câncer em 3 dias; parece golpe ℹ️,1
Fundação Y anuncia parceria para educação digital com investimento de R$ 1 bilhão #saúde,0
Checagem aponta: Curitiba lança programa de habitação com foco em famílias,0
Belém lança programa de habitação com foco em pesquisadores #clima,0
Autoridades desmentem boato: ONG Z anuncia parceria para telemedicina com investimento de R$ 200 milhões,0
Mensagem promete que suco de limão elimina câncer em 3 dias; parece golpe #oficial,1
"Circula nas redes que banco dá dinheiro só por compartilhar post, mas não há evidências #oficial",1
Boato afirma que o Sol vai apagar este ano; especialistas negam — fonte: redes sociais,1
Checagem aponta: IBGE publica dados indicando queda da inflação em 2025,0
Autoridades desmentem boato: Fundação Y anuncia parceria para energia solar com investimento de R$ 200 milhões,0
"Circula nas redes que suco de limão elimina câncer em 3 dias, mas não há evidências #economia",1
Recife lança programa de inovação com foco em pesquisadores,0
Checagem aponta: Governo Federal publica dados indicando queda da inflação em 2025,0
São Paulo lança programa de inovação com foco em pesquisadores #clima,0
Ministério da Sanitária publica dados indicando alta da vacinação em 2025,0
Boato afirma que água quente cura todas as doenças; especialistas negam #economia,1
Especialistas explicam contexto: São Paulo lança programa de inovação com foco em pesquisadores,0
Checagem aponta: Boato afirma que vacina causa chip rastreador; especialistas negam,1
Governo obrig população a tomar remédio sem aviso,1
Checagem aponta: Boato afirma que suco de limão elimina câncer em 3 dias; especialistas negam,1
Especialistas explicam contexto: Boato afirma que banco dá dinheiro só por compartilhar post; especialistas negam,1
São Paulo lança programa de habitação com foco em pesquisadores — fonte: redes sociais,0
Fiocruz publica dados indicando queda da inflação em 2025 #clima,0
Empresa X anuncia parceria para telemedicina com investimento de R$ 200 milhões #clima,0
Ministério da Saúde publica dados indicando alta da vacinação em 2024 — fonte: jornal,0
"Circula nas redes que suco de limão elimina câncer em 3 dias, mas não há evidências 📣",1
ONG Z anuncia parceria para telemedicina com investimento de R$ 1 bilhão,0
Belém lança programa de inovação com foco em pesquisadores 📰,0
Curitiba lança programa de sustentabilidade com foco em famílias,0
Brasília lança programa de habitação com foco em famílias #política,0
"Circula nas redes que instituição financeira dá dinheiro só por compartilhar post, mas não há evidências",1
Remédio natural garante cura instantânea para diabetes — fonte: redes sociais,1
